gene,eigenvector,betweenness,pagerank,out_degree,in_degree,hub_score
ZNF317,2.225838605176442e-17,0.0,0.0045730542045326955,0,4,0.05008013139024145
NFS1,1.1936519300605737e-13,0.0,0.004183588471273759,0,7,0.04581503978602382
CCNL1,8.552809824121552e-10,0.0,0.003823921182521408,0,6,0.041876275297882806
MOCS3,2.225772573199521e-17,0.0,0.0036417519193397293,0,4,0.039881314861832995
MRPL24,1.1816558573003833e-13,0.0,0.0036366413710145398,0,8,0.03982534856011488
RAD9A,8.552809932210948e-10,0.0,0.0034424783991341317,0,4,0.03769904409625829
XAB2,9.178445699749808e-20,0.0,0.0030641941761560027,0,5,0.03355640236999691
TRAIP,9.179258801714804e-20,0.0,0.0030537462808811434,0,5,0.03344198606423831
VPS13D,9.113224751790866e-20,0.0,0.0026435007846408224,0,3,0.02894933248195489
CCP110,6.563065159298111e-22,0.0,0.0025629241399106532,0,3,0.02806692681287885
WBP1L,4.07613424545483e-24,0.0,0.0024925431333416544,0,3,0.027296174947996223
