gene,eigenvector,betweenness,pagerank,out_degree,in_degree,hub_score,k562_chronos,pan_mean_chronos,selective_score,is_selectively_essential,is_essential
SRP14,2.6851777542689383e-31,1.5509647000434267e-05,0.0023037930959511335,14,2,0.25856248124651743,7.689089451248381,8.192316795429324,-0.5032273441809432,True,False
DPM2,5.5421625475107155e-34,2.2841480127912285e-05,0.0022056302754415204,14,1,0.25748748700221447,5.811471030529836,5.480118273055896,0.33135275747393944,False,False
SEC61G,5.5421625475107155e-34,1.19847272276083e-05,0.002195961722288284,14,1,0.25738160537680366,9.19615947642022,8.805982089116657,0.390177387303563,False,False
CHMP5,5.7253745325524036e-37,0.0,0.0020702705312962122,14,0,0.2560051442464633,5.923149180472309,6.248863548522497,-0.32571436805018816,True,False
NDUFA2,4.097123161689527e-24,5.170553746768152e-05,0.002798646008435515,13,5,0.24731501535195138,6.8376910004285625,6.706172625787104,0.1315183746414581,False,False
EIF3B,2.1075736428444018e-26,6.641955971939222e-05,0.0027265880802640223,13,4,0.24652589929315635,7.2540837793194175,7.202650418718414,0.051433360601003564,False,False
XRCC5,4.07622053027452e-24,9.686479535725766e-05,0.0027158164729882534,13,4,0.2464079379737563,6.682292371430833,7.210746397037045,-0.5284540256062122,True,False
TMX2,2.1075736428444018e-26,2.8652562153399673e-05,0.002626898601010645,13,4,0.2454341864037081,6.821582672706793,6.561768965344191,0.2598137073626017,False,False
RPL18A,2.0989184198831428e-26,9.686479535725766e-05,0.002607538229027283,13,3,0.24522216836733107,11.24198314969433,10.899037604461677,0.3429455452326522,False,False
GTF2F2,5.7253745325524036e-37,0.0,0.0020702705312962122,13,0,0.23933847757979665,4.45022149589718,4.536648106248944,-0.08642661035176413,False,False
RPS3,9.244885272808306e-20,0.00016494610296955355,0.0034023925146821343,12,7,0.23726005784221116,12.143128072943814,11.863816366911898,0.27931170603191546,False,False
ARF4,9.244885272808316e-20,8.110336837305013e-05,0.003212000005540028,12,7,0.23517504387843535,7.050175160410917,7.330945397458684,-0.2807702370477667,True,False
ILF3,6.644168060539846e-22,7.935097968598806e-05,0.003081204453047115,12,6,0.23374268419907446,7.277240898332067,7.266724035163364,0.010516863168703594,False,False
RSL24D1,4.097123161689526e-24,0.00011364341347590928,0.0030623594385151363,12,5,0.23353630991143165,8.210427830401485,6.397436136282124,1.8129916941193613,False,False
EIF4G1,2.6851777542689396e-31,0.00010743955467573559,0.002467194343006587,12,2,0.22701857693717326,7.1200823223209575,7.782192703267934,-0.6621103809469764,True,False
PSMG1,8.682074738802893e-29,2.3546464082477482e-05,0.002443659680420319,12,3,0.22676084568321672,7.506843098969815,6.184599548795697,1.322243550174118,False,False
MRPS31,2.6851777542689383e-31,1.0222267341195315e-05,0.002321593396311453,12,2,0.22542408139548287,4.0925457415435655,4.197313410691527,-0.10476766914796176,False,False
PTCD3,5.7253745325524036e-37,0.0,0.0020702705312962122,12,0,0.22267181091312996,5.831623936820749,5.634479662101727,0.1971442747190224,False,False
MRPS11,5.7253745325524036e-37,0.0,0.0020702705312962122,12,0,0.22267181091312996,5.121429908948958,5.592718312854904,-0.4712884039059464,True,False
MRGBP,5.7253745325524036e-37,0.0,0.0020702705312962122,12,0,0.22267181091312996,3.7897292513757694,4.260525995719975,-0.4707967443442058,True,False
PTMA,6.6441680605398555e-22,0.00013606190323108247,0.0032474242656958183,11,6,0.21889631304713353,9.40090077776695,10.540165548166947,-1.139264770399997,True,False
PDCD6IP,6.6441680605398555e-22,6.016534492246385e-05,0.0029816208107924127,11,6,0.21598546367816066,6.907731922352586,5.949720775343266,0.9580111470093202,False,False
SMC6,4.097123161689526e-24,8.645117522839465e-05,0.002910947883001895,11,5,0.21521151494473562,5.121429908948958,4.045697852251676,1.075732056697282,False,False
POLR2E,4.0971231616895274e-24,2.5822555135787963e-05,0.0027580952115556718,11,5,0.2135376047903821,7.692789834972647,7.307307976514793,0.38548185845785365,False,False
TMA16,5.5421625475107155e-34,0.0,0.0021802503234142753,11,1,0.20720954773551112,5.414135532984451,5.147408494726535,0.2667270382579163,False,False
SRFBP1,0.03531501635418381,0.0,0.017615753839908644,0,10,0.20712926970763723,2.513490745588118,3.016117177898369,-0.502626432310251,True,False
RPL35,5.7253745325524036e-37,0.0,0.0020702705312962122,11,0,0.2060051442464633,11.338346412294236,11.141353182475767,0.19699322981846912,False,False
GTF2H3,6.64416806053984e-22,0.00011984727227608298,0.0032792580786418528,10,6,0.20257826274574187,5.514122260170708,4.955555794690916,0.5585664654797915,False,False
MRPS22,6.644168060539846e-22,8.161699953994761e-05,0.003135866972621083,10,6,0.20100796746636498,6.515699838284043,5.777859941309184,0.737839896974859,False,False
MRPL38,4.097123161689526e-24,4.5249898683734526e-05,0.002867400512275392,10,5,0.19806795516678213,5.7527485914071335,5.6066833603903925,0.14606523101674096,False,False
IARS2,2.1075736428444018e-26,3.354716503795231e-05,0.0026829157609073256,10,4,0.1960476378526223,6.164705840182799,6.0335370362254785,0.1311688039573209,False,False
CASP8AP2,0.0005590651015222502,0.0,0.017868321877728053,0,6,0.19590345815650695,3.6982184782244136,3.251231746263625,0.44698673196078875,False,False
IFITM2,8.761430616741536e-06,0.0,0.017782555443673215,0,8,0.19474268242381576,7.433042894156768,5.2459464555006035,2.187096438656164,False,False
