gene,k562_chronos,pan_mean_chronos,selective_score
CYB561,4.870857864363762,4.33504834292333,0.5358095214404317
SPAG9,5.636044526028037,5.227232390696512,0.40881213533152483
CELSR3,1.6870606883398924,2.440257462629122,-0.7531967742892296
AASS,0.2986583155645151,2.0711205065563094,-1.7724621909917944
PLEKHG6,0.1634987322828795,1.450329941624073,-1.2868312093411933
SS18L2,5.867896463992655,5.028767817254197,0.839128646738458
MPND,3.033863451866284,3.41910266714064,-0.385239215274356
MGST1,5.942749070828886,5.848732198366302,0.09401687246258383
CRY1,4.616475328782878,3.5025131995420495,1.1139621292408282
PGLYRP1,0.3673710656485294,0.1253765124508569,0.2419945531976725
NFIX,2.6622054996536164,3.426219291361666,-0.7640137917080496
ST3GAL1,2.411426245726465,3.0872503422237836,-0.6758240964973186
MMP25,0.5260688116675876,0.6267448082030213,-0.10067599653543369
IL32,2.2957230245399685,3.9311544523058544,-1.635431427765886
PKD1,5.869624686204322,4.994577478044403,0.875047208159919
MAPK8IP2,0.2265085298086797,1.29190212570159,-1.0653935958929102
MED24,5.857234580499787,5.526656662809354,0.3305779176904329
RHOBTB2,1.01435529297707,2.9301094589130328,-1.9157541659359627
HEATR5B,3.075532631167357,3.0790710059749555,-0.0035383748075985544
SEC62,5.132576842670009,6.193066741348354,-1.0604898986783455
RPS20,11.373300196608389,10.972767379184475,0.40053281742391356
CSDE1,7.911032392866301,7.761338513238227,0.14969387962807357
UBE3C,5.329841176530628,5.1267859267950815,0.2030552497355469
REV3L,3.2764966656403565,3.2308796197426455,0.045617045897710984
TENM1,3.5197934862411,0.45721541725002957,3.06257806899107
PAX7,0.0285691521967709,0.2581794217914203,-0.2296102695946494
MASP2,1.292781749227846,0.8081236662795576,0.4846580829482884
IYD,0.01435529297707,0.17871349031460573,-0.16435819733753573
FAM76A,2.895302621333306,2.2854087845038933,0.6098938368294129
TRAF3IP3,0.3334237337251918,1.0309105667242429,-0.6974868329990511
POMT2,2.8196681834964554,3.600255828939374,-0.7805876454429184
VTA1,5.37851162325373,5.31610503189158,0.062406591362149655
MLXIPL,5.150559676575382,1.2420143618009496,3.9085453147744325
BAZ1B,6.087674986687217,5.391832164735296,0.6958428219519215
RANBP9,6.059831136192821,4.762192590376357,1.297638545816464
ETV7,0.1634987322828795,0.8511036589170551,-0.6876049266341756
SPRTN,3.3701642805402097,3.1109544539213756,0.25920982661883407
EEF1AKNMT,4.792855352362489,4.812175316258429,-0.019319963895940262
DYRK4,4.365972427593384,4.394090319579048,-0.028117891985663945
ZNF207,7.089053172156434,6.905356535824884,0.18369663633154953
UQCRC1,7.591858904987171,7.588606682749709,0.0032522222374620213
