perturbation,n_real_cells,real_deg_count,gears_delta_var_ratio,gears_deg_count,cpa_delta_var_ratio,cpa_deg_count,geneformer_delta_var_ratio,geneformer_deg_count
SMC6,125,2,6.607482304600483,12,1.0380911946089308,0,0.059366975003156956,1
SNRPG,402,12,0.15237433317833027,3,0.10056765078875993,0,0.14075854369402613,1
SRFBP1,76,13,0.016398410508317664,2,0.023257863546120118,0,0.00028333540130614355,1
SRP14,132,3,0.102374964691599,1,0.5637817536731623,0,0.6238444551245454,1
SRSF6,231,1,0.7708950699500804,1,11.756628924313446,0,0.036860445874459635,1
STAT5A,204,2,11.465770757666835,41,2.1278694379795673,0,0.013884246177869482,1
SUPT5H,406,187,0.27314494420272806,97,0.016823107734500447,0,0.00012947143910639608,1
SURF6,130,9,0.08177184867546793,1,0.34004073488085745,0,0.005133949732302181,1
TAF2,144,115,0.002035571860705186,1,0.02804656545415556,0,5.0322514281172e-05,1
TBCC,141,3,16.57507010367878,24,5.2455248320086785,0,0.014616287882646031,1
TMA16,172,4,0.046782000544677294,0,0.5777807932945087,0,0.004177398516501279,1
TMX2,109,85,0.14924855443840876,31,0.0594429385430056,0,0.0016783743326277251,1
TRA2B,222,2,4.292639228684092,39,1.2855682755629596,0,0.04178450896873589,1
TRAIP,87,3,0.7585297649852905,22,0.6428465677444535,0,0.0007492224206562851,1
TRIAP1,66,3,5.299279425912922,23,0.7236845635253838,0,0.03865897499435652,1
TRMT6,114,4,1.9785370202904446,1,2.5310161052888396,0,0.00823841761742754,1
UNC45A,178,0,0.7515156552576264,2,6.547725924930256,0,0.007679559797500114,1
URM1,123,1,0.12408057127261687,0,0.2171785452775661,0,0.004798939639093083,1
USP5,199,1,0.2842596847275188,3,0.8612788201685995,0,0.0015165896584471564,1
USP7,276,1,1.6595493699406285,1,4.036415897347085,0,0.09238809114930979,1
USP8,74,7,12.114938845290354,3,3.4936168354234822,0,0.025651660926274036,1
VPS72,98,19,0.026560105613077763,1,0.030388791852480324,0,0.00021125362387147304,1
WAC,162,3,0.4707281736233525,1,0.9309609120095826,0,0.04168173249306565,1
WBP1L,199,2,3.583839605332939,2,10.877653279341722,0,0.0013350914383007016,1
WDR18,105,6,0.027326109216489095,1,0.4271425611119598,0,0.010485712001924857,1
WDR26,226,1,1.3130565088162092,2,2.078619389698961,0,0.010018732881997292,1
WDR4,347,1,3.8358783244878785,0,11.905836939622782,0,0.06458406739344809,1
XAB2,153,38,1.017097465012919,29,0.14198087833552364,0,0.0002914817010843654,1
XPO5,221,1,0.42721066354334336,2,0.8889753421809198,0,0.011679772067974496,1
XRCC2,157,1,1.4997619670402027,2,2.7097256526408233,0,0.041475832688873046,1
XRCC5,88,15,0.12168342589894852,3,0.255424963222346,0,0.1700825830343683,1
YBX1,86,8,0.013506114270631512,3,0.05132736432691608,0,1.8435610730115584,2
ZC3H8,21,44,0.14405504438496042,1,0.68800839712531,0,0.002890179086665806,1
ZMAT5,100,11,0.2453648826717254,4,0.6342875064531651,0,0.0003773857741372136,1
ZNF317,132,5,0.053510582379066036,1,0.3214598386201735,0,0.00022833271996343537,1
ZNF830,15,54,0.43071227701719417,15,0.9182401310452921,0,0.0015608124530862967,1
